장기요양기관코드,기관유형코드,,,
12714000324,A04,,,
12714000325,A04,,,
12714000363,A03,,,
12714000382,A03,,,
12714000385,A04,,,
12714000386,A04,,,
12714000392,A03,,,
12714000400,A03,,,
12714000409,A03,,,
12714000427,A03,,,
12714000465,A04,,,
12714000476,A03,,,
12714000510,A03,,,
12714000512,A03,,,
12714000539,A03,,,
12714000599,A04,,,
12714000600,A04,,,
12714000602,A04,,,
12714000603,A03,,,
12714000642,A04,,,
12714000643,S41,,,
12714000644,A04,,,
12714000650,A03,,,
12714000666,A04,,,
12714000675,A03,,,
12714000684,A04,,,
12717000001,A03,,,
12717000003,A03,,,
12717000004,A03,,,
12717000032,A03,,,
12717000112,A03,,,
12717000139,A04,,,
12717000140,A04,,,
12717000144,A03,,,
12717000150,A03,,,
12717000227,A04,,,
12717000237,A03,,,
12717000242,A04,,,
12717000250,A03,,,
12717000254,A04,,,
12717000255,A04,,,
12717000268,A04,,,
12717000269,A04,,,
12717000283,A04,,,
12717000344,A03,,,
12717000350,A03,,,
12717000354,A04,,,
12717000355,A04,,,
12717000377,A03,,,
12717000382,A03,,,
12717000386,A03,,,
12717000400,A03,,,
12717000411,A03,,,
12717000427,A04,,,
12717000428,A04,,,
12717000429,A04,,,
12717000434,A03,,,
12720000004,A03,,,
12720000011,A03,,,
12720000052,A03,,,
12720000081,A03,,,
12720000088,A03,,,
12720000090,A03,,,
12720000100,A03,,,
12720000106,A04,,,
12720000125,A03,,,
12720000135,A04,,,
12720000137,A04,,,
12720000138,A04,,,
12720000155,A04,,,
12720000160,A03,,,
12720000174,A04,,,
12720000175,A03,,,
12720000194,A04,,,
12720000199,A04,,,
12720000207,A03,,,
12720000275,A03,,,
12720000277,A04,,,
12720000291,A03,,,
12720000308,A03,,,
12720000312,A04,,,
12720000327,A04,,,
12723000018,A03,,,
12723000106,A03,,,
12723000107,A03,,,
12723000107,G31,,,
12723000107,G32,,,
12723000107,G33,,,
12723000172,A04,,,
12723000177,A03,,,
12723000181,A04,,,
12723000196,A03,,,
12723000216,A04,,,
12723000240,A04,,,
12723000244,A03,,,
12723000245,A04,,,
12723000259,A03,,,
12723000266,A03,,,
12723000277,A04,,,
12723000304,A04,,,
12723000315,A03,,,
12723000317,A04,,,
12723000318,A04,,,
12723000329,A03,,,
12723000346,A03,,,
12723000372,A04,,,
12723000388,A03,,,
12723000404,A04,,,
12723000410,A03,,,
12723000412,A04,,,
12723000413,A04,,,
12723000420,A04,,,
12723000448,A03,,,
12723000466,A03,,,
12723000482,A03,,,
12723000489,A03,,,
12723000491,A04,,,
12723000495,A04,,,
12723000496,A04,,,
12723000507,A04,,,
12723000512,A03,,,
12723000541,A03,,,
12723000542,A04,,,
12723000544,A04,,,
12723000563,A04,,,
12723000565,A03,,,
12723000566,A03,,,
12723000568,A04,,,
12723000569,A04,,,
12723000574,A03,,,
12723000578,A04,,,
12723000580,A04,,,
12723000618,A03,,,
12723000619,A04,,,
12723000631,A04,,,
12723000642,A04,,,
12723000649,A03,,,
12723000667,A03,,,
12723000683,A03,,,
12723000687,A04,,,
12723000688,A03,,,
12723000690,A03,,,
12723000695,A03,,,
12723000708,A03,,,
12723000709,A03,,,
12723000714,A03,,,
12726000007,A03,,,
12726000044,A03,,,
12726000148,A04,,,
12726000150,A03,,,
12726000162,A04,,,
12726000173,A04,,,
12726000180,A03,,,
12726000192,A04,,,
12726000198,A03,,,
12726000270,A03,,,
12726000275,S41,,,
12726000395,A04,,,
12726000400,A03,,,
12726000455,A03,,,
12726000458,A03,,,
12726000459,A03,,,
12726000464,A04,,,
12729000024,A03,,,
12729000040,A03,,,
12729000096,A03,,,
12729000180,A03,,,
12729000197,A04,,,
12729000214,A04,,,
12729000238,A04,,,
12729000250,A03,,,
12729000252,A03,,,
12729000252,G31,,,
12729000252,G32,,,
12729000252,G33,,,
12729000261,A03,,,
12729000298,A04,,,
12729000320,A04,,,
12729000392,A04,,,
12729000403,A04,,,
12729000404,A04,,,
12729000421,A03,,,
12729000428,A03,,,
12729000428,G31,,,
12729000452,A03,,,
12729000486,A04,,,
12729000487,A04,,,
12729000496,A03,,,
12729000542,A03,,,
12729000558,A04,,,
12729000569,A03,,,
12729000579,A04,,,
12729000588,A04,,,
12729000589,A03,,,
12729000610,A03,,,
12729000620,A04,,,
12729000621,A03,,,
12729000621,G31,,,
12729000625,A03,,,
12729000629,A03,,,
12729000652,A03,,,
12729000672,A03,,,
12729000692,A03,,,
12729000711,A04,,,
12729000720,A03,,,
12729000721,A04,,,
12729000722,A04,,,
12729000733,A04,,,
12771000002,A03,,,
12771000006,A03,,,
12771000007,A03,,,
12771000042,A03,,,
12771000052,A03,,,
12771000057,A03,,,
12771000062,A03,,,
12771000070,A03,,,
12771000075,A04,,,
12771000077,A04,,,
12771000086,A03,,,
12771000086,G31,,,
12771000086,G32,,,
12771000088,A04,,,
12771000091,A04,,,
12771000094,A03,,,
12771000102,A04,,,
12771000103,A04,,,
12771000110,A03,,,
12771000127,A03,,,
12771000130,A04,,,
12771000139,A03,,,
12771000144,A04,,,
12771000151,A03,,,
12771000155,A04,,,
12771000156,A04,,,
12771000173,A03,,,
12771000184,A03,,,
12771000190,A03,,,
12771000214,A03,,,
12771000214,G31,,,
12771000216,A03,,,
12771000221,S41,,,
12771000223,A03,,,
12771000225,A03,,,
12771000226,A04,,,
12771000229,A03,,,
12771000240,A04,,,
12771000244,A03,,,
12771000256,A03,,,
12771000265,A03,,,
12771000275,A03,,,
12811000009,A03,,,
12811000029,A03,,,
12811000052,A04,,,
12811000060,A03,,,
12811000076,A03,,,
12811000081,A04,,,
12811000082,A03,,,
12811000083,A03,,,
12811000095,A03,,,
12811000105,A03,,,
12811000112,A03,,,
12811000121,A03,,,
12811000125,A03,,,
12811000134,A03,,,
12811000138,A03,,,
12811000148,A03,,,
12811000152,A03,,,
12811000154,A03,,,
12811000161,A03,,,
12811000167,A03,,,
12811000176,A03,,,
12811000183,A03,,,
12811000189,A03,,,
12811000190,A03,,,
12811000194,A03,,,
12811000200,A03,,,
12811000207,A03,,,
12814000023,A03,,,
12814000024,A03,,,
12814000076,A03,,,
12814000081,A04,,,
12814000082,A04,,,
12814000103,A03,,,
12814000111,A03,,,
12814000114,A03,,,
12817000004,A03,,,
12817000005,A03,,,
12817000044,A03,,,
12817000102,A03,,,
12817000111,A03,,,
12817000153,A03,,,
12817000182,A03,,,
12817000192,A03,,,
12817000210,A03,,,
12817000227,A03,,,
12817000229,A04,,,
12817000231,A03,,,
12817000240,A03,,,
12817000242,A04,,,
12817000267,A04,,,
12817000268,A04,,,
12817000300,A03,,,
12817000302,A03,,,
12817000305,A03,,,
12817000309,A03,,,
12817000331,A03,,,
12817000341,A03,,,
12817000387,A03,,,
12817700408,A03,,,
12817700428,A03,,,
12817700434,A03,,,
12817700443,A03,,,
12817700445,A03,,,
12817700459,A03,,,
12817700475,A03,,,
12817700482,A03,,,
12817700517,A03,,,
12817700523,A03,,,
12817700537,A04,,,
12817700538,A03,,,
12817700543,A03,,,
12817700586,A03,,,
12817700587,A03,,,
12817700590,A03,,,
12817700607,A03,,,
12817700611,A03,,,
12817700624,A03,,,
12817700625,A03,,,
12817700636,A03,,,
12817700640,A03,,,
12817700641,A04,,,
12817700642,A04,,,
12817700652,A03,,,
12817700657,A04,,,
12817700665,A04,,,
12817700675,A03,,,
12817700678,A03,,,
12817700684,A03,,,
12817700685,A03,,,
12818500009,A03,,,
12818500014,A03,,,
12818500023,A03,,,
12818500077,A03,,,
12818500085,A03,,,
12818500094,A04,,,
12818500121,A03,,,
12818500125,A03,,,
12818500126,A04,,,
12818500129,A03,,,
12818500155,A03,,,
12818500161,A03,,,
12818500176,A03,,,
12818500233,A04,,,
12818500234,A03,,,
12818500235,A03,,,
12818500236,A03,,,
12818500248,A03,,,
12818500249,A03,,,
12818500254,A03,,,
12818500259,A03,,,
12818500264,A03,,,
12818500272,A04,,,
12818500278,A03,,,
12818500280,A03,,,
12818500281,A03,,,
12818500286,A03,,,
12818500289,A03,,,
12818500299,A03,,,
12818500303,A03,,,
12818500307,A04,,,
12818500313,A03,,,
12818500315,A03,,,
12818500319,A03,,,
12818500322,A03,,,
12818500328,A04,,,
12820000001,A03,,,
12820000009,A03,,,
12820000018,A03,,,
12820000018,G31,,,
12820000018,G32,,,
12820000073,A04,,,
12820000240,A04,,,
12820000248,A03,,,
12820000273,A03,,,
12820000291,A03,,,
12820000293,A04,,,
12820000319,A04,,,
12820000356,A03,,,
12820000372,A03,,,
12820000374,A03,,,
12820000392,A03,,,
12820000397,A03,,,
12820000411,A03,,,
12820000411,G31,,,
12820000415,A03,,,
12820000419,A04,,,
12820000475,A03,,,
12820000505,A03,,,
12820000524,A04,,,
12820000525,A04,,,
12820000537,A03,,,
12820000542,A03,,,
12820000544,A04,,,
12820000566,A03,,,
12820000573,A03,,,
12820000580,A04,,,
12820000581,S41,,,
12820000583,A03,,,
12820000590,A03,,,
12820000600,A03,,,
12820000603,A03,,,
12820000606,A03,,,
12820000607,A03,,,
12820000612,A03,,,
12820000619,A04,,,
12820000627,A03,,,
12820000631,A03,,,
12820000636,A03,,,
12820000650,A03,,,
12820000652,A03,,,
12820000669,A03,,,
12820000683,A03,,,
12820000691,A03,,,
12820000692,A03,,,
12820000700,A03,,,
12820000714,A03,,,
12820000715,A03,,,
12820000716,A03,,,
12820000723,A03,,,
12820000724,A03,,,
12820000725,A04,,,
12820000728,A04,,,
12820000729,A03,,,
12820000736,A03,,,
12820000738,A03,,,
12820000740,A03,,,
12820000747,A03,,,
12820000754,A03,,,
12820000757,A03,,,
12820000758,A03,,,
12820000763,A03,,,
12820000764,A03,,,
12820000765,A03,,,
12820000768,A03,,,
12820000771,A04,,,
12820000772,A04,,,
12820000776,A03,,,
12820000780,A03,,,
12820000783,A03,,,
12820000793,A03,,,
12820000800,A03,,,
12820000807,A03,,,
12820000808,A03,,,
12820000812,A03,,,
12820000813,A03,,,
12820000814,A03,,,
12820000818,A03,,,
12820000827,A03,,,
12820000830,A03,,,
12820000833,A03,,,
12820000842,A03,,,
12820000843,A03,,,
12820000844,A03,,,
12820000852,A03,,,
12820000855,A03,,,
12820000860,A04,,,
12820000861,A04,,,
12820000863,A03,,,
12820000864,A04,,,
12820000871,A04,,,
12820000872,A03,,,
12820000878,A04,,,
12820000879,A04,,,
12820000882,A03,,,
12820000885,A03,,,
12820000891,A03,,,
12820000897,A03,,,
12820000898,A04,,,
12820000900,A04,,,
12820000904,A03,,,
12820000905,A03,,,
